,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,continentExp,PopulationDensity
24,28/04/2020,28,4,2020,172,0,Afghanistan,AF,AFG,Asia,56.93776001
25,27/04/2020,27,4,2020,68,10,Afghanistan,AF,AFG,Asia,56.93776001
26,26/04/2020,26,4,2020,112,4,Afghanistan,AF,AFG,Asia,56.93776001
27,25/04/2020,25,4,2020,70,1,Afghanistan,AF,AFG,Asia,56.93776001
28,24/04/2020,24,4,2020,105,2,Afghanistan,AF,AFG,Asia,56.93776001
29,23/04/2020,23,4,2020,84,4,Afghanistan,AF,AFG,Asia,56.93776001
30,22/04/2020,22,4,2020,61,1,Afghanistan,AF,AFG,Asia,56.93776001
31,21/04/2020,21,4,2020,35,2,Afghanistan,AF,AFG,Asia,56.93776001
32,20/04/2020,20,4,2020,88,3,Afghanistan,AF,AFG,Asia,56.93776001
33,19/04/2020,19,4,2020,63,0,Afghanistan,AF,AFG,Asia,56.93776001
34,18/04/2020,18,4,2020,51,1,Afghanistan,AF,AFG,Asia,56.93776001
35,17/04/2020,17,4,2020,10,4,Afghanistan,AF,AFG,Asia,56.93776001
36,16/04/2020,16,4,2020,70,2,Afghanistan,AF,AFG,Asia,56.93776001
37,15/04/2020,15,4,2020,49,2,Afghanistan,AF,AFG,Asia,56.93776001
38,14/04/2020,14,4,2020,58,3,Afghanistan,AF,AFG,Asia,56.93776001
39,13/04/2020,13,4,2020,52,0,Afghanistan,AF,AFG,Asia,56.93776001
40,12/04/2020,12,4,2020,34,3,Afghanistan,AF,AFG,Asia,56.93776001
41,11/04/2020,11,4,2020,37,0,Afghanistan,AF,AFG,Asia,56.93776001
42,10/04/2020,10,4,2020,61,1,Afghanistan,AF,AFG,Asia,56.93776001
43,09/04/2020,9,4,2020,56,3,Afghanistan,AF,AFG,Asia,56.93776001
44,08/04/2020,8,4,2020,30,4,Afghanistan,AF,AFG,Asia,56.93776001
45,07/04/2020,7,4,2020,38,0,Afghanistan,AF,AFG,Asia,56.93776001
46,06/04/2020,6,4,2020,29,2,Afghanistan,AF,AFG,Asia,56.93776001
47,05/04/2020,5,4,2020,35,1,Afghanistan,AF,AFG,Asia,56.93776001
48,04/04/2020,4,4,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
49,03/04/2020,3,4,2020,43,0,Afghanistan,AF,AFG,Asia,56.93776001
50,02/04/2020,2,4,2020,26,0,Afghanistan,AF,AFG,Asia,56.93776001
51,01/04/2020,1,4,2020,25,0,Afghanistan,AF,AFG,Asia,56.93776001
52,31/03/2020,31,3,2020,27,0,Afghanistan,AF,AFG,Asia,56.93776001
53,30/03/2020,30,3,2020,8,1,Afghanistan,AF,AFG,Asia,56.93776001
54,29/03/2020,29,3,2020,15,1,Afghanistan,AF,AFG,Asia,56.93776001
55,28/03/2020,28,3,2020,16,1,Afghanistan,AF,AFG,Asia,56.93776001
56,27/03/2020,27,3,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
57,26/03/2020,26,3,2020,33,0,Afghanistan,AF,AFG,Asia,56.93776001
58,25/03/2020,25,3,2020,2,0,Afghanistan,AF,AFG,Asia,56.93776001
59,24/03/2020,24,3,2020,6,1,Afghanistan,AF,AFG,Asia,56.93776001
60,23/03/2020,23,3,2020,10,0,Afghanistan,AF,AFG,Asia,56.93776001
61,22/03/2020,22,3,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
62,21/03/2020,21,3,2020,2,0,Afghanistan,AF,AFG,Asia,56.93776001
63,20/03/2020,20,3,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
64,19/03/2020,19,3,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
65,18/03/2020,18,3,2020,1,0,Afghanistan,AF,AFG,Asia,56.93776001
66,17/03/2020,17,3,2020,5,0,Afghanistan,AF,AFG,Asia,56.93776001
67,16/03/2020,16,3,2020,6,0,Afghanistan,AF,AFG,Asia,56.93776001
68,15/03/2020,15,3,2020,3,0,Afghanistan,AF,AFG,Asia,56.93776001
69,11/03/2020,11,3,2020,3,0,Afghanistan,AF,AFG,Asia,56.93776001
70,08/03/2020,8,3,2020,3,0,Afghanistan,AF,AFG,Asia,56.93776001
71,02/03/2020,2,3,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
72,01/03/2020,1,3,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
73,29/02/2020,29,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
74,28/02/2020,28,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
75,27/02/2020,27,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
76,26/02/2020,26,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
77,25/02/2020,25,2,2020,1,0,Afghanistan,AF,AFG,Asia,56.93776001
78,24/02/2020,24,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
79,23/02/2020,23,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
80,22/02/2020,22,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
81,21/02/2020,21,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
82,20/02/2020,20,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
83,19/02/2020,19,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
84,18/02/2020,18,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
85,17/02/2020,17,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
86,16/02/2020,16,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
87,15/02/2020,15,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
88,14/02/2020,14,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
89,13/02/2020,13,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
90,12/02/2020,12,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
91,11/02/2020,11,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
92,10/02/2020,10,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
93,09/02/2020,9,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
94,08/02/2020,8,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
95,07/02/2020,7,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
96,06/02/2020,6,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
97,05/02/2020,5,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
98,04/02/2020,4,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
99,03/02/2020,3,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
100,02/02/2020,2,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
101,01/02/2020,1,2,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
102,31/01/2020,31,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
103,30/01/2020,30,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
104,29/01/2020,29,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
105,28/01/2020,28,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
106,27/01/2020,27,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
107,26/01/2020,26,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
108,25/01/2020,25,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
109,24/01/2020,24,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
110,23/01/2020,23,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
111,22/01/2020,22,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
112,21/01/2020,21,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
113,20/01/2020,20,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
114,19/01/2020,19,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
115,18/01/2020,18,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
116,17/01/2020,17,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
117,16/01/2020,16,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
118,15/01/2020,15,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
119,14/01/2020,14,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
120,13/01/2020,13,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
121,12/01/2020,12,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
122,11/01/2020,11,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
123,10/01/2020,10,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
124,09/01/2020,9,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
125,08/01/2020,8,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
126,07/01/2020,7,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
127,06/01/2020,6,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
128,05/01/2020,5,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
129,04/01/2020,4,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
130,03/01/2020,3,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
131,02/01/2020,2,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
132,01/01/2020,1,1,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
133,31/12/2019,31,12,2019,0,0,Afghanistan,AF,AFG,Asia,56.93776001
134,22/05/2020,22,5,2020,5,0,Albania,AL,ALB,Europe,104.6122628
135,21/05/2020,21,5,2020,15,0,Albania,AL,ALB,Europe,104.6122628
136,20/05/2020,20,5,2020,1,0,Albania,AL,ALB,Europe,104.6122628
137,19/05/2020,19,5,2020,2,0,Albania,AL,ALB,Europe,104.6122628
138,18/05/2020,18,5,2020,13,0,Albania,AL,ALB,Europe,104.6122628
139,17/05/2020,17,5,2020,17,0,Albania,AL,ALB,Europe,104.6122628
140,16/05/2020,16,5,2020,18,0,Albania,AL,ALB,Europe,104.6122628
141,15/05/2020,15,5,2020,18,0,Albania,AL,ALB,Europe,104.6122628
142,14/05/2020,14,5,2020,4,0,Albania,AL,ALB,Europe,104.6122628
143,13/05/2020,13,5,2020,4,0,Albania,AL,ALB,Europe,104.6122628
144,12/05/2020,12,5,2020,4,0,Albania,AL,ALB,Europe,104.6122628
145,11/05/2020,11,5,2020,12,0,Albania,AL,ALB,Europe,104.6122628
146,10/05/2020,10,5,2020,6,0,Albania,AL,ALB,Europe,104.6122628
147,09/05/2020,9,5,2020,8,0,Albania,AL,ALB,Europe,104.6122628
148,08/05/2020,8,5,2020,10,0,Albania,AL,ALB,Europe,104.6122628
149,07/05/2020,7,5,2020,12,0,Albania,AL,ALB,Europe,104.6122628
150,06/05/2020,6,5,2020,17,0,Albania,AL,ALB,Europe,104.6122628
151,05/05/2020,5,5,2020,8,0,Albania,AL,ALB,Europe,104.6122628
152,04/05/2020,4,5,2020,6,0,Albania,AL,ALB,Europe,104.6122628
153,03/05/2020,3,5,2020,7,0,Albania,AL,ALB,Europe,104.6122628
154,02/05/2020,2,5,2020,9,0,Albania,AL,ALB,Europe,104.6122628
155,01/05/2020,1,5,2020,7,0,Albania,AL,ALB,Europe,104.6122628
156,30/04/2020,30,4,2020,16,1,Albania,AL,ALB,Europe,104.6122628
157,29/04/2020,29,4,2020,14,2,Albania,AL,ALB,Europe,104.6122628
158,28/04/2020,28,4,2020,10,0,Albania,AL,ALB,Europe,104.6122628
159,27/04/2020,27,4,2020,14,1,Albania,AL,ALB,Europe,104.6122628
160,26/04/2020,26,4,2020,34,0,Albania,AL,ALB,Europe,104.6122628
161,25/04/2020,25,4,2020,15,0,Albania,AL,ALB,Europe,104.6122628
162,24/04/2020,24,4,2020,29,0,Albania,AL,ALB,Europe,104.6122628
163,23/04/2020,23,4,2020,25,1,Albania,AL,ALB,Europe,104.6122628
164,22/04/2020,22,4,2020,25,0,Albania,AL,ALB,Europe,104.6122628
165,21/04/2020,21,4,2020,22,0,Albania,AL,ALB,Europe,104.6122628
166,20/04/2020,20,4,2020,14,0,Albania,AL,ALB,Europe,104.6122628
167,19/04/2020,19,4,2020,9,0,Albania,AL,ALB,Europe,104.6122628
168,18/04/2020,18,4,2020,21,0,Albania,AL,ALB,Europe,104.6122628
169,17/04/2020,17,4,2020,24,1,Albania,AL,ALB,Europe,104.6122628
170,16/04/2020,16,4,2020,19,1,Albania,AL,ALB,Europe,104.6122628
171,15/04/2020,15,4,2020,8,1,Albania,AL,ALB,Europe,104.6122628
172,14/04/2020,14,4,2020,21,0,Albania,AL,ALB,Europe,104.6122628
173,13/04/2020,13,4,2020,13,0,Albania,AL,ALB,Europe,104.6122628
174,12/04/2020,12,4,2020,17,0,Albania,AL,ALB,Europe,104.6122628
175,11/04/2020,11,4,2020,7,0,Albania,AL,ALB,Europe,104.6122628
176,10/04/2020,10,4,2020,9,1,Albania,AL,ALB,Europe,104.6122628
177,09/04/2020,9,4,2020,17,0,Albania,AL,ALB,Europe,104.6122628
178,08/04/2020,8,4,2020,6,0,Albania,AL,ALB,Europe,104.6122628
179,07/04/2020,7,4,2020,16,1,Albania,AL,ALB,Europe,104.6122628
180,06/04/2020,6,4,2020,28,2,Albania,AL,ALB,Europe,104.6122628
181,05/04/2020,5,4,2020,29,2,Albania,AL,ALB,Europe,104.6122628
182,04/04/2020,4,4,2020,27,1,Albania,AL,ALB,Europe,104.6122628
183,03/04/2020,3,4,2020,18,1,Albania,AL,ALB,Europe,104.6122628
184,02/04/2020,2,4,2020,16,0,Albania,AL,ALB,Europe,104.6122628
185,01/04/2020,1,4,2020,20,3,Albania,AL,ALB,Europe,104.6122628
186,31/03/2020,31,3,2020,11,2,Albania,AL,ALB,Europe,104.6122628
187,30/03/2020,30,3,2020,15,0,Albania,AL,ALB,Europe,104.6122628
188,29/03/2020,29,3,2020,11,1,Albania,AL,ALB,Europe,104.6122628
189,28/03/2020,28,3,2020,12,3,Albania,AL,ALB,Europe,104.6122628
190,27/03/2020,27,3,2020,28,1,Albania,AL,ALB,Europe,104.6122628
191,26/03/2020,26,3,2020,23,0,Albania,AL,ALB,Europe,104.6122628
192,25/03/2020,25,3,2020,23,1,Albania,AL,ALB,Europe,104.6122628
193,24/03/2020,24,3,2020,11,2,Albania,AL,ALB,Europe,104.6122628
194,23/03/2020,23,3,2020,13,0,Albania,AL,ALB,Europe,104.6122628
195,22/03/2020,22,3,2020,6,0,Albania,AL,ALB,Europe,104.6122628
196,21/03/2020,21,3,2020,0,0,Albania,AL,ALB,Europe,104.6122628
197,20/03/2020,20,3,2020,11,0,Albania,AL,ALB,Europe,104.6122628
198,19/03/2020,19,3,2020,4,1,Albania,AL,ALB,Europe,104.6122628
199,18/03/2020,18,3,2020,4,0,Albania,AL,ALB,Europe,104.6122628
200,17/03/2020,17,3,2020,9,0,Albania,AL,ALB,Europe,104.6122628
201,16/03/2020,16,3,2020,4,0,Albania,AL,ALB,Europe,104.6122628
202,15/03/2020,15,3,2020,5,0,Albania,AL,ALB,Europe,104.6122628
203,14/03/2020,14,3,2020,10,0,Albania,AL,ALB,Europe,104.6122628
204,13/03/2020,13,3,2020,12,0,Albania,AL,ALB,Europe,104.6122628
205,12/03/2020,12,3,2020,1,1,Albania,AL,ALB,Europe,104.6122628
206,11/03/2020,11,3,2020,4,0,Albania,AL,ALB,Europe,104.6122628
207,10/03/2020,10,3,2020,4,0,Albania,AL,ALB,Europe,104.6122628
208,09/03/2020,9,3,2020,2,0,Albania,AL,ALB,Europe,104.6122628
209,22/05/2020,22,5,2020,186,7,Algeria,DZ,DZA,Africa,17.73007507
210,21/05/2020,21,5,2020,165,7,Algeria,DZ,DZA,Africa,17.73007507
211,20/05/2020,20,5,2020,176,6,Algeria,DZ,DZA,Africa,17.73007507
212,19/05/2020,19,5,2020,182,7,Algeria,DZ,DZA,Africa,17.73007507
213,18/05/2020,18,5,2020,198,6,Algeria,DZ,DZA,Africa,17.73007507
214,17/05/2020,17,5,2020,192,6,Algeria,DZ,DZA,Africa,17.73007507
215,16/05/2020,16,5,2020,187,7,Algeria,DZ,DZA,Africa,17.73007507
216,15/05/2020,15,5,2020,189,7,Algeria,DZ,DZA,Africa,17.73007507
217,14/05/2020,14,5,2020,186,7,Algeria,DZ,DZA,Africa,17.73007507
218,13/05/2020,13,5,2020,176,8,Algeria,DZ,DZA,Africa,17.73007507
219,12/05/2020,12,5,2020,168,5,Algeria,DZ,DZA,Africa,17.73007507
220,11/05/2020,11,5,2020,165,8,Algeria,DZ,DZA,Africa,17.73007507
221,10/05/2020,10,5,2020,189,6,Algeria,DZ,DZA,Africa,17.73007507
222,09/05/2020,9,5,2020,187,5,Algeria,DZ,DZA,Africa,17.73007507
223,08/05/2020,8,5,2020,185,7,Algeria,DZ,DZA,Africa,17.73007507
224,07/05/2020,7,5,2020,159,6,Algeria,DZ,DZA,Africa,17.73007507
225,06/05/2020,6,5,2020,190,5,Algeria,DZ,DZA,Africa,17.73007507
226,05/05/2020,5,5,2020,174,2,Algeria,DZ,DZA,Africa,17.73007507
227,04/05/2020,4,5,2020,179,4,Algeria,DZ,DZA,Africa,17.73007507
228,03/05/2020,3,5,2020,141,6,Algeria,DZ,DZA,Africa,17.73007507
229,02/05/2020,2,5,2020,148,3,Algeria,DZ,DZA,Africa,17.73007507
230,01/05/2020,1,5,2020,158,6,Algeria,DZ,DZA,Africa,17.73007507
231,30/04/2020,30,4,2020,199,7,Algeria,DZ,DZA,Africa,17.73007507
232,29/04/2020,29,4,2020,132,5,Algeria,DZ,DZA,Africa,17.73007507
233,28/04/2020,28,4,2020,135,7,Algeria,DZ,DZA,Africa,17.73007507
234,27/04/2020,27,4,2020,126,6,Algeria,DZ,DZA,Africa,17.73007507
235,26/04/2020,26,4,2020,129,4,Algeria,DZ,DZA,Africa,17.73007507
236,25/04/2020,25,4,2020,120,8,Algeria,DZ,DZA,Africa,17.73007507
237,24/04/2020,24,4,2020,97,5,Algeria,DZ,DZA,Africa,17.73007507
238,23/04/2020,23,4,2020,99,10,Algeria,DZ,DZA,Africa,17.73007507
239,22/04/2020,22,4,2020,93,8,Algeria,DZ,DZA,Africa,17.73007507
240,21/04/2020,21,4,2020,89,9,Algeria,DZ,DZA,Africa,17.73007507
241,20/04/2020,20,4,2020,94,8,Algeria,DZ,DZA,Africa,17.73007507
242,19/04/2020,19,4,2020,117,3,Algeria,DZ,DZA,Africa,17.73007507
243,18/04/2020,18,4,2020,150,16,Algeria,DZ,DZA,Africa,17.73007507
244,17/04/2020,17,4,2020,108,12,Algeria,DZ,DZA,Africa,17.73007507
245,16/04/2020,16,4,2020,90,11,Algeria,DZ,DZA,Africa,17.73007507
246,15/04/2020,15,4,2020,87,12,Algeria,DZ,DZA,Africa,17.73007507
247,14/04/2020,14,4,2020,69,20,Algeria,DZ,DZA,Africa,17.73007507
248,13/04/2020,13,4,2020,89,18,Algeria,DZ,DZA,Africa,17.73007507
249,12/04/2020,12,4,2020,64,19,Algeria,DZ,DZA,Africa,17.73007507
250,11/04/2020,11,4,2020,95,21,Algeria,DZ,DZA,Africa,17.73007507
251,10/04/2020,10,4,2020,94,30,Algeria,DZ,DZA,Africa,17.73007507
252,09/04/2020,9,4,2020,104,12,Algeria,DZ,DZA,Africa,17.73007507
253,08/04/2020,8,4,2020,45,20,Algeria,DZ,DZA,Africa,17.73007507
254,07/04/2020,7,4,2020,103,21,Algeria,DZ,DZA,Africa,17.73007507
255,06/04/2020,6,4,2020,69,22,Algeria,DZ,DZA,Africa,17.73007507
256,05/04/2020,5,4,2020,80,25,Algeria,DZ,DZA,Africa,17.73007507
257,04/04/2020,4,4,2020,185,42,Algeria,DZ,DZA,Africa,17.73007507
258,03/04/2020,3,4,2020,139,5,Algeria,DZ,DZA,Africa,17.73007507
259,02/04/2020,2,4,2020,131,14,Algeria,DZ,DZA,Africa,17.73007507
260,01/04/2020,1,4,2020,132,9,Algeria,DZ,DZA,Africa,17.73007507
261,31/03/2020,31,3,2020,73,4,Algeria,DZ,DZA,Africa,17.73007507
262,30/03/2020,30,3,2020,57,2,Algeria,DZ,DZA,Africa,17.73007507
263,29/03/2020,29,3,2020,45,3,Algeria,DZ,DZA,Africa,17.73007507
264,28/03/2020,28,3,2020,42,1,Algeria,DZ,DZA,Africa,17.73007507
265,27/03/2020,27,3,2020,65,4,Algeria,DZ,DZA,Africa,17.73007507
266,26/03/2020,26,3,2020,38,2,Algeria,DZ,DZA,Africa,17.73007507
267,25/03/2020,25,3,2020,34,2,Algeria,DZ,DZA,Africa,17.73007507
268,24/03/2020,24,3,2020,29,0,Algeria,DZ,DZA,Africa,17.73007507
269,23/03/2020,23,3,2020,62,2,Algeria,DZ,DZA,Africa,17.73007507
270,22/03/2020,22,3,2020,37,5,Algeria,DZ,DZA,Africa,17.73007507
271,21/03/2020,21,3,2020,12,3,Algeria,DZ,DZA,Africa,17.73007507
272,20/03/2020,20,3,2020,18,1,Algeria,DZ,DZA,Africa,17.73007507
273,19/03/2020,19,3,2020,12,1,Algeria,DZ,DZA,Africa,17.73007507
274,18/03/2020,18,3,2020,2,1,Algeria,DZ,DZA,Africa,17.73007507
275,17/03/2020,17,3,2020,10,0,Algeria,DZ,DZA,Africa,17.73007507
276,16/03/2020,16,3,2020,11,2,Algeria,DZ,DZA,Africa,17.73007507
277,15/03/2020,15,3,2020,11,0,Algeria,DZ,DZA,Africa,17.73007507
278,14/03/2020,14,3,2020,1,1,Algeria,DZ,DZA,Africa,17.73007507
279,13/03/2020,13,3,2020,5,1,Algeria,DZ,DZA,Africa,17.73007507
280,12/03/2020,12,3,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
281,09/03/2020,9,3,2020,3,0,Algeria,DZ,DZA,Africa,17.73007507
282,06/03/2020,6,3,2020,5,0,Algeria,DZ,DZA,Africa,17.73007507
283,05/03/2020,5,3,2020,7,0,Algeria,DZ,DZA,Africa,17.73007507
284,04/03/2020,4,3,2020,2,0,Algeria,DZ,DZA,Africa,17.73007507
285,02/03/2020,2,3,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
286,01/03/2020,1,3,2020,2,0,Algeria,DZ,DZA,Africa,17.73007507
287,29/02/2020,29,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
288,28/02/2020,28,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
289,27/02/2020,27,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
290,26/02/2020,26,2,2020,1,0,Algeria,DZ,DZA,Africa,17.73007507
291,25/02/2020,25,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
292,24/02/2020,24,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
293,23/02/2020,23,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
294,22/02/2020,22,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
295,21/02/2020,21,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
296,20/02/2020,20,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
297,19/02/2020,19,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
298,18/02/2020,18,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
299,17/02/2020,17,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
300,16/02/2020,16,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
301,15/02/2020,15,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
302,14/02/2020,14,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
303,13/02/2020,13,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
304,12/02/2020,12,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
305,11/02/2020,11,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
306,10/02/2020,10,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
307,09/02/2020,9,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
308,08/02/2020,8,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
309,07/02/2020,7,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
310,06/02/2020,6,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
311,05/02/2020,5,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
312,04/02/2020,4,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
313,03/02/2020,3,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
314,02/02/2020,2,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
315,01/02/2020,1,2,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
316,31/01/2020,31,1,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
317,30/01/2020,30,1,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
318,29/01/2020,29,1,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
319,28/01/2020,28,1,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
320,27/01/2020,27,1,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
321,26/01/2020,26,1,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
322,25/01/2020,25,1,2020,0,0,Algeria,DZ,DZA,Africa,17.73007507
